Selection Sort,ReversedData,1000000,-1
Insertion Sort,ReversedData,1000000,-1
Merge Sort,ThirtyPercent,1000000,0.007076
Quick Sort,ThirtyPercent,1000000,0.043737
Heap Sort,ThirtyPercent,1000000,0.095476
Cycle Sort,ThirtyPercent,1000000,-1
Selection Sort,ThirtyPercent,1000000,-1
Insertion Sort,ThirtyPercent,1000000,-1
Merge Sort,TwentyPercent,1000000,0.006643
Quick Sort,TwentyPercent,1000000,0.043926
Heap Sort,TwentyPercent,1000000,0.107799
Cycle Sort,TwentyPercent,1000000,-1
Selection Sort,TwentyPercent,1000000,-1
Insertion Sort,TwentyPercent,1000000,-1
